id,x,y
1,1054500,-2143250
2,1054750,-2143000
3,1054750,-2142500
4,1055000,-2142250
5,1055500,-2142250
6,1055750,-2142000
7,1055750,-2141500
8,1056000,-2141250
9,1056500,-2141250
10,1056750,-2141000
11,1056750,-2140500
12,1056750,-2140000
13,1056750,-2139500
14,1056750,-2139000
15,1056750,-2138500
16,1056750,-2138000
17,1056750,-2137500
18,1056750,-2137000
19,1056750,-2136500
20,1056500,-2136250
21,1056250,-2136000
22,1056250,-2135500
23,1056000,-2135250
24,1055750,-2135000
25,1055750,-2134500
26,1055750,-2134000
27,1055750,-2133500
28,1055500,-2133250
29,1055250,-2133000
30,1055250,-2132500
31,1055000,-2132250
32,1054750,-2132000
33,1054500,-2131750
34,1054250,-2131500
35,1054000,-2131250
36,1053750,-2131000
37,1053750,-2130500
38,1054000,-2130250
39,1054500,-2130250
40,1055000,-2130250
41,1055500,-2130250
42,1055750,-2130500
43,1055750,-2131000
44,1056000,-2131250
45,1056500,-2131250
46,1057000,-2131250
47,1057500,-2131250
48,1057750,-2131000
49,1057750,-2130500
50,1058000,-2130250
51,1058500,-2130250
52,1058750,-2130000
53,1058500,-2129750
54,1058250,-2129500
55,1058000,-2129250
56,1057750,-2129000
57,1057750,-2128500
58,1057750,-2128000
59,1057750,-2127500
60,1057500,-2127250
61,1057250,-2127000
62,1057250,-2126500
63,1057000,-2126250
64,1056750,-2126000
65,1056500,-2125750
66,1056250,-2125500
67,1056000,-2125250
68,1055750,-2125000
69,1055500,-2124750
70,1055250,-2124500
71,1055250,-2124000
72,1055500,-2123750
73,1056000,-2123750
74,1056250,-2124000
75,1056500,-2124250
76,1056750,-2124500
77,1057000,-2124750
78,1057500,-2124750
79,1057750,-2125000
80,1058000,-2125250
81,1058250,-2125500
82,1058500,-2125750
83,1058750,-2125500
84,1058750,-2125000
85,1058750,-2124500
86,1059000,-2124250
87,1059500,-2124250
88,1059750,-2124000
89,1059750,-2123500
90,1060000,-2123250
91,1060500,-2123250
92,1060750,-2123000
93,1061000,-2122750
94,1061500,-2122750
95,1061750,-2123000
96,1062000,-2123250
97,1062250,-2123500
98,1062500,-2123750
99,1062750,-2124000
100,1063000,-2124250
101,1063500,-2124250
102,1064000,-2124250
103,1064500,-2124250
104,1065000,-2124250
105,1065500,-2124250
106,1065750,-2124500
107,1065750,-2125000
108,1065750,-2125500
109,1065750,-2126000
110,1066000,-2126250
111,1066500,-2126250
112,1067000,-2126250
113,1067500,-2126250
114,1067750,-2126000
115,1067750,-2125500
116,1068000,-2125250
117,1068500,-2125250
118,1068750,-2125500
119,1068750,-2126000
120,1069000,-2126250
121,1069500,-2126250
122,1070000,-2126250
123,1070500,-2126250
124,1070750,-2126500
125,1070750,-2127000
126,1071000,-2127250
127,1071500,-2127250
128,1072000,-2127250
129,1072500,-2127250
130,1072750,-2127000
131,1072750,-2126500
132,1073000,-2126250
133,1073500,-2126250
134,1073750,-2126500
135,1073750,-2127000
136,1074000,-2127250
137,1074500,-2127250
138,1075000,-2127250
139,1075500,-2127250
140,1075750,-2127500
141,1075750,-2128000
142,1076000,-2128250
143,1076500,-2128250
144,1077000,-2128250
145,1077500,-2128250
146,1078000,-2128250
147,1078500,-2128250
148,1079000,-2128250
149,1079500,-2128250
150,1079750,-2128000
151,1079750,-2127500
152,1080000,-2127250
153,1080500,-2127250
154,1080750,-2127000
155,1080750,-2126500
156,1080750,-2126000
157,1080750,-2125500
158,1081000,-2125250
159,1081500,-2125250
160,1081750,-2125000
161,1081750,-2124500
162,1082000,-2124250
163,1082500,-2124250
164,1082750,-2124000
165,1082750,-2123500
166,1083000,-2123250
167,1083500,-2123250
168,1083750,-2123000
169,1083750,-2122500
170,1083750,-2122000
171,1083750,-2121500
172,1084000,-2121250
173,1084500,-2121250
174,1084750,-2121000
175,1084750,-2120500
176,1085000,-2120250
177,1085500,-2120250
178,1086000,-2120250
179,1086500,-2120250
180,1086750,-2120000
181,1086750,-2119500
182,1087000,-2119250
183,1087500,-2119250
184,1087750,-2119000
185,1087750,-2118500
186,1088000,-2118250
187,1088500,-2118250
188,1088750,-2118000
189,1088750,-2117500
190,1089000,-2117250
191,1089500,-2117250
192,1089750,-2117000
193,1089750,-2116500
194,1090000,-2116250
195,1090500,-2116250
196,1091000,-2116250
197,1091500,-2116250
198,1091750,-2116000
199,1091750,-2115500
200,1092000,-2115250
201,1092500,-2115250
202,1093000,-2115250
203,1093500,-2115250
204,1093750,-2115000
205,1093750,-2114500
206,1094000,-2114250
207,1094500,-2114250
208,1094750,-2114000
209,1094750,-2113500
210,1095000,-2113250
211,1095500,-2113250
212,1095750,-2113000
213,1095750,-2112500
214,1096000,-2112250
215,1096500,-2112250
216,1096750,-2112000
217,1096750,-2111500
218,1097000,-2111250
219,1097500,-2111250
220,1098000,-2111250
221,1098500,-2111250
222,1098750,-2111000
223,1098750,-2110500
224,1099000,-2110250
225,1099500,-2110250
226,1099750,-2110000
227,1099750,-2109500
228,1100000,-2109250
229,1100500,-2109250
230,1101000,-2109250
231,1101500,-2109250
232,1101750,-2109000
233,1101750,-2108500
234,1102000,-2108250
235,1102500,-2108250
236,1102750,-2108000
237,1102750,-2107500
238,1103000,-2107250
239,1103500,-2107250
240,1104000,-2107250
241,1104500,-2107250
242,1104750,-2107000
243,1104750,-2106500
244,1105000,-2106250
245,1105500,-2106250
246,1105750,-2106000
247,1105750,-2105500
248,1106000,-2105250
249,1106500,-2105250
250,1106750,-2105000
251,1106750,-2104500
252,1107000,-2104250
253,1107500,-2104250
254,1107750,-2104000
255,1107750,-2103500
256,1108000,-2103250
257,1108500,-2103250
258,1109000,-2103250
259,1109500,-2103250
260,1109750,-2103000
261,1109750,-2102500
262,1110000,-2102250
263,1110500,-2102250
264,1110750,-2102000
265,1110750,-2101500
266,1111000,-2101250
267,1111500,-2101250
268,1111750,-2101000
269,1111750,-2100500
270,1112000,-2100250
271,1112500,-2100250
272,1112750,-2100000
273,1112750,-2099500
274,1113000,-2099250
275,1113500,-2099250
276,1114000,-2099250
277,1114500,-2099250
278,1114750,-2099000
279,1114750,-2098500
280,1115000,-2098250
281,1115500,-2098250
282,1115750,-2098000
283,1115750,-2097500
284,1116000,-2097250
285,1116500,-2097250
286,1116750,-2097000
287,1116500,-2096750
288,1116250,-2096500
289,1116000,-2096250
290,1115500,-2096250
291,1115250,-2096000
292,1115500,-2095750
293,1115750,-2095500
294,1115500,-2095250
295,1115000,-2095250
296,1114750,-2095000
297,1114750,-2094500
298,1114750,-2094000
299,1114750,-2093500
300,1114500,-2093250
301,1114000,-2093250
302,1113500,-2093250
303,1113000,-2093250
304,1112750,-2093000
305,1112750,-2092500
306,1112750,-2092000
307,1112750,-2091500
308,1113000,-2091250
309,1113500,-2091250
310,1113750,-2091000
311,1113500,-2090750
312,1113000,-2090750
313,1112750,-2090500
